Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
Brazil,2020,August,Thursday,Evening,Rural,Street,Clear,281.21893651350695,1,44,61+,Female,0.0801547000153262,1,Poor,2,1,Minor,7,4,53.6659717117404,5758.2461017209625,Wet,Distracted Driving,6,36037.67365549338,76558.610810305,South America,123.033745350433
Brazil,2003,August,Thursday,Morning,Rural,Highway,Clear,422.4178059443376,2,103,18-25,Male,0.2351591734895475,1,Moderate,2,0,Moderate,19,3,40.426182577876666,951.4996647666912,Snow-covered,Speeding,8,44829.53673433108,45275.7165184122,Australia,3219.495247956614
Brazil,2016,December,Saturday,Morning,Urban,Street,Snowy,419.533984190061,3,72,41-60,Female,0.2348943493543192,0,Moderate,1,1,Moderate,7,4,37.11077707800752,8345.032924109342,Icy,Speeding,6,26940.19261277757,60088.7998143832,Europe,1175.103846595432
Brazil,2015,June,Sunday,Evening,Urban,Highway,Windy,343.27586863793647,4,66,<18,Male,0.1561704714728367,0,Poor,0,1,Minor,5,4,11.444710417953091,2902.6730506537297,Dry,Distracted Driving,6,49317.67237431855,29412.666030462227,South America,3807.52803426387
Brazil,2016,September,Thursday,Afternoon,Rural,Street,Windy,240.73111077860423,1,50,41-60,Female,0.2470730424656061,1,Poor,1,0,Moderate,9,4,42.66815705070432,8001.282561351914,Dry,Drunk Driving,0,43592.819143063854,82829.25786012996,South America,864.5881961703797
Brazil,2000,December,Friday,Night,Urban,Main Road,Windy,425.3162450903131,4,58,41-60,Female,0.070273552123269,0,Moderate,1,0,Moderate,9,2,41.348405302114486,3387.4031119767565,Wet,Mechanical Failure,0,21095.217505159235,52299.11655153585,North America,3458.3638832927063
Brazil,2003,June,Sunday,Morning,Urban,Street,Clear,489.8043135551436,1,109,<18,Male,0.1783225486658803,1,Moderate,2,0,Severe,14,3,15.198955253858708,5672.731431864429,Snow-covered,Distracted Driving,3,47554.419318091794,54378.255201469474,Australia,1993.918515144175
Brazil,2017,September,Saturday,Morning,Rural,Main Road,Rainy,73.47540041898473,1,115,18-25,Female,0.0782487579251665,1,Good,0,0,Minor,13,3,43.56437560290598,5628.533594041558,Wet,Weather,6,8190.863272413216,14818.889840769423,Europe,3705.594104012596
Brazil,2020,April,Saturday,Afternoon,Rural,Highway,Windy,474.5612612364626,2,33,61+,Female,0.0384195347459706,1,Moderate,1,0,Severe,19,2,31.685453124506925,3327.997904276169,Snow-covered,Weather,0,40861.50452369508,7127.634099821077,Europe,1490.3617738830785
Brazil,2017,May,Wednesday,Night,Urban,Street,Rainy,362.7843455508887,2,88,61+,Female,0.2406264745338659,0,Moderate,1,2,Moderate,1,2,49.66063938699519,446.8310450638654,Snow-covered,Drunk Driving,8,14391.84821089038,94585.36076032127,North America,4738.545770622694
Brazil,2003,January,Monday,Morning,Rural,Highway,Rainy,148.8526370972595,3,61,<18,Male,0.1443362305128312,1,Moderate,2,0,Moderate,8,4,25.955933006765825,1291.4727149444698,Wet,Mechanical Failure,1,23392.952256097826,11943.223495674514,Australia,3845.584417836981
Brazil,2000,June,Saturday,Afternoon,Rural,Main Road,Windy,330.04957064925736,1,53,61+,Female,0.1770416745700829,0,Moderate,2,2,Minor,3,0,40.60491559034664,7006.24403128899,Dry,Drunk Driving,3,7363.057921099089,1874.6290633683025,Asia,2916.781197818042
Brazil,2016,July,Tuesday,Morning,Rural,Main Road,Clear,201.28462746078185,1,57,41-60,Female,0.1833186371238351,0,Moderate,0,2,Minor,12,1,47.44323426838728,6734.552415764914,Snow-covered,Distracted Driving,2,45445.19711903483,6276.268075230792,Australia,3283.8463573432928
Brazil,2023,April,Wednesday,Morning,Rural,Street,Rainy,298.0975746530023,2,65,<18,Male,0.201764704239257,1,Good,1,0,Minor,16,1,53.3970105933816,5072.161145047616,Icy,Drunk Driving,7,21465.96527780163,81297.7589553699,Asia,2471.1860316862435
Brazil,2014,October,Tuesday,Morning,Urban,Highway,Windy,74.36638802894399,2,57,<18,Male,0.1560185907810758,1,Good,0,0,Severe,12,1,30.98580030457463,5566.698642079603,Dry,Distracted Driving,8,4821.698888498086,32747.365306825453,Europe,4027.736735811505
Brazil,2015,August,Saturday,Afternoon,Urban,Main Road,Clear,234.0726139830655,1,118,26-40,Female,0.1840762731276548,0,Poor,2,0,Moderate,6,0,33.023005997640624,5578.608376489829,Icy,Weather,0,4240.478323775224,40528.18506330574,Asia,1910.0522985718
Brazil,2014,September,Friday,Morning,Urban,Highway,Rainy,236.0835657321388,3,87,26-40,Male,0.1031848083592649,0,Moderate,2,2,Severe,11,3,36.22059231673747,1584.79552382754,Snow-covered,Weather,7,46416.33806873272,23006.78756348333,South America,1278.5846205046653
Brazil,2020,August,Tuesday,Afternoon,Urban,Street,Rainy,254.28322302160183,1,52,<18,Female,0.0776230490812149,1,Good,0,1,Severe,16,2,5.31933620109023,6957.482779558307,Dry,Weather,1,15106.416703397012,42997.5117403313,South America,4093.169035311893
Brazil,2012,September,Wednesday,Afternoon,Rural,Highway,Foggy,315.49220686881915,2,32,18-25,Male,0.0339229902982398,1,Good,2,0,Severe,4,2,9.868477561720033,9657.33087080528,Icy,Distracted Driving,4,27933.86454785923,44211.967811704766,North America,3466.259415824595
Brazil,2022,May,Monday,Morning,Rural,Main Road,Windy,388.0895303647061,4,79,<18,Male,0.1820265598072616,0,Good,1,0,Moderate,0,2,9.01769071284366,5566.855898767102,Wet,Mechanical Failure,5,33610.369763749746,53097.74421259093,Australia,4040.744543705942
Brazil,2021,September,Wednesday,Morning,Urban,Street,Snowy,318.38381396470004,1,60,41-60,Female,0.0633110266636309,0,Moderate,0,2,Minor,0,3,26.1937660276254,8885.718152800267,Icy,Weather,1,43093.04878685088,54544.73634326636,South America,3629.691944086488
Brazil,2016,December,Sunday,Evening,Rural,Main Road,Snowy,77.32417989010591,4,76,<18,Female,0.239896793625982,1,Good,1,0,Severe,6,0,20.10893330644508,6880.06979904206,Icy,Speeding,6,39459.26102940439,5445.447744560468,Asia,4562.204677883975
Brazil,2003,June,Monday,Afternoon,Rural,Main Road,Foggy,63.71228037465744,2,72,18-25,Male,0.1208832221893124,0,Poor,2,0,Minor,10,0,50.2964155795243,5736.498144177254,Snow-covered,Weather,0,36743.85351176333,2231.346237091786,North America,730.0669948365863
Brazil,2014,April,Tuesday,Night,Rural,Highway,Foggy,493.92988721645577,3,113,61+,Female,0.1617903978753129,1,Poor,0,0,Severe,14,2,6.394788466573813,5876.5573987444495,Icy,Speeding,0,38105.01913795822,95311.11948790088,North America,4672.303370941793
Brazil,2007,April,Wednesday,Evening,Urban,Highway,Rainy,160.47930002191296,1,109,18-25,Female,0.1485975334390431,1,Poor,1,2,Severe,15,4,25.971667160222363,6919.4048878995445,Dry,Weather,0,590.2895435000216,76235.22874753982,South America,1883.6086908499176
Brazil,2000,January,Tuesday,Afternoon,Rural,Highway,Snowy,402.6734525461104,1,114,61+,Male,0.0202833659626643,1,Moderate,1,1,Severe,13,0,35.574911337416275,529.7358105378012,Snow-covered,Mechanical Failure,0,21587.443726969428,33613.445196248256,Europe,703.0304925115538
Brazil,2011,April,Tuesday,Morning,Urban,Street,Foggy,223.19291826004243,4,117,18-25,Male,0.179072665403646,0,Moderate,1,0,Minor,17,1,34.38403222808918,5718.371557695969,Dry,Weather,3,14628.955434943658,32443.6170762982,Australia,726.5662724578268
Brazil,2019,May,Sunday,Afternoon,Rural,Highway,Windy,206.3477252140652,4,65,61+,Female,0.0130877577952736,0,Moderate,2,1,Minor,19,3,26.639011810253034,2063.3799119653168,Snow-covered,Speeding,6,27926.25237879625,38779.89758503198,Europe,1102.493932738147
Brazil,2002,April,Tuesday,Night,Urban,Street,Rainy,314.01812961627144,1,76,<18,Male,0.06963379176769,1,Moderate,2,0,Minor,11,1,12.487739317127676,7097.164448787962,Snow-covered,Weather,1,17615.949028728293,14340.197031585742,Europe,1563.0843789160867
Brazil,2009,November,Tuesday,Afternoon,Urban,Main Road,Rainy,497.2519114665829,4,60,61+,Male,0.2326864950243786,0,Good,1,2,Moderate,12,1,8.33360480914055,4139.413833606483,Wet,Distracted Driving,7,1208.611049443787,86737.27699971123,North America,4375.317011874111
Brazil,2000,June,Wednesday,Evening,Urban,Main Road,Rainy,165.88019848500335,1,117,<18,Female,0.1919378823456116,1,Good,1,2,Moderate,5,3,14.380816392777213,6583.232530012716,Wet,Drunk Driving,0,1756.424232416426,16594.53710424812,Australia,4684.193588739712
Brazil,2000,June,Tuesday,Evening,Rural,Highway,Windy,314.6502310901692,4,106,18-25,Male,0.1622955746570897,0,Moderate,0,1,Severe,0,4,47.18063180771327,6205.5783402791085,Snow-covered,Mechanical Failure,7,26344.3980343356,42790.76815457075,Asia,3833.654349524183
Brazil,2024,March,Wednesday,Afternoon,Urban,Street,Foggy,217.42589449616372,4,53,18-25,Female,0.1465832990114476,1,Moderate,0,2,Minor,16,3,44.19260796388326,1055.7348356613566,Snow-covered,Weather,6,43702.06064711163,57710.48873170146,Europe,1904.04502888544
Brazil,2024,April,Thursday,Afternoon,Rural,Street,Windy,186.61690615391308,2,83,61+,Male,0.1968480603340984,1,Moderate,1,1,Moderate,7,0,55.769765409890354,8585.935254306794,Dry,Weather,4,42716.77404474659,29541.688921046974,Australia,3461.47362995288
Brazil,2018,December,Wednesday,Morning,Urban,Street,Foggy,223.6008433092941,1,110,61+,Male,0.1177431044315902,0,Poor,1,1,Minor,13,3,54.6671159076948,793.9083811349227,Icy,Speeding,6,10583.902835180244,28985.67534123219,South America,119.76452196452698
Brazil,2009,June,Sunday,Afternoon,Urban,Street,Foggy,139.91754669053324,1,31,26-40,Male,0.0151875783008083,1,Moderate,0,1,Minor,10,0,30.208839510486165,835.9475387860094,Icy,Speeding,0,2579.933712182359,18810.421960343192,Europe,3028.677198663644
Brazil,2005,April,Thursday,Afternoon,Rural,Main Road,Windy,408.1459301740318,4,102,26-40,Female,0.0988907726922143,0,Poor,1,2,Moderate,2,2,37.85688843850305,4387.200122283233,Icy,Weather,7,18348.26654129935,34191.09396150938,Australia,4025.2240747797496
Brazil,2004,August,Saturday,Night,Rural,Main Road,Clear,458.8457293230256,3,99,18-25,Female,0.1278869759711961,0,Moderate,1,1,Moderate,4,4,25.50576089283985,9276.753308692418,Dry,Drunk Driving,0,46702.11107010554,78500.59760457175,Australia,820.8570211157709
Brazil,2007,January,Thursday,Night,Rural,Street,Windy,349.5574100816553,3,74,61+,Female,0.1161306648834102,1,Poor,0,0,Minor,1,3,39.89631667252061,5006.882843356564,Wet,Weather,9,28342.370526838768,63171.35980481169,Asia,567.743597892179
Brazil,2003,February,Thursday,Evening,Urban,Street,Foggy,499.6006624671736,3,71,18-25,Female,0.0761251411849338,1,Good,0,2,Moderate,10,4,15.43197315133461,6475.805774150899,Wet,Distracted Driving,5,6592.228711450443,53559.92534444765,Europe,4568.029091296026
Brazil,2014,May,Sunday,Morning,Rural,Highway,Foggy,173.169907956001,1,44,18-25,Female,0.1425262361111431,1,Moderate,2,0,Moderate,11,1,49.4647950493387,5251.752189998092,Dry,Distracted Driving,6,45914.71946508448,19718.00638191248,Australia,4066.250850223692
Brazil,2000,April,Friday,Morning,Urban,Main Road,Windy,51.23085980077354,2,60,26-40,Female,0.0515038942948951,0,Poor,1,1,Severe,13,4,50.06346102119991,6369.157665099332,Dry,Speeding,6,42914.07541985425,95833.04288328251,Europe,3650.613366973606
Brazil,2006,May,Monday,Evening,Urban,Highway,Rainy,474.9812595945335,4,86,<18,Male,0.0882087609715869,1,Good,2,2,Moderate,4,2,28.026457270457914,9927.311489815998,Snow-covered,Mechanical Failure,3,26920.495514536226,81105.06935583983,Asia,946.6161159829636
Brazil,2018,March,Friday,Afternoon,Rural,Highway,Windy,302.0383352325299,1,66,41-60,Male,0.138720611214646,0,Moderate,2,2,Minor,10,1,41.55762860669898,475.1290537457001,Icy,Mechanical Failure,0,22740.974654481503,35390.71576771286,South America,1615.839451182286
Brazil,2022,March,Wednesday,Morning,Urban,Street,Snowy,390.51972215148726,1,105,26-40,Male,0.0341731452678857,0,Moderate,2,0,Moderate,3,2,28.009838740605737,1815.2642936938923,Snow-covered,Speeding,3,10816.396974809231,51703.23060612541,Asia,2170.2473163760155
Brazil,2014,July,Wednesday,Morning,Rural,Main Road,Clear,107.66129690996628,2,116,61+,Female,0.049589307047745,1,Poor,2,0,Minor,10,4,23.425944179090685,6326.1755980967,Dry,Mechanical Failure,4,40688.2315360576,47245.34270593896,Asia,486.1708789793774
Brazil,2003,August,Friday,Evening,Urban,Street,Foggy,258.8221289848244,2,57,<18,Male,0.0049123295338971,1,Good,2,1,Moderate,17,1,18.40485504763396,8359.803184282735,Icy,Drunk Driving,1,7038.207671961477,96199.89206048916,North America,199.1631218938344
Brazil,2017,June,Tuesday,Afternoon,Rural,Highway,Windy,353.2566808565145,2,53,18-25,Female,0.1158930343456872,0,Poor,2,2,Moderate,3,0,21.116236339621263,9412.262072993468,Wet,Distracted Driving,7,6269.235766339405,57933.15307104109,Australia,4289.959939608211
Brazil,2024,August,Tuesday,Morning,Rural,Street,Clear,284.1808536048457,1,102,26-40,Female,0.0661590922811615,0,Good,0,0,Severe,1,0,7.2952562073075455,9229.092659194204,Icy,Drunk Driving,5,12701.8440407388,74212.99346253484,Asia,4692.922757022413
Brazil,2000,September,Sunday,Morning,Urban,Main Road,Snowy,101.30073073018676,2,97,41-60,Female,0.1554238818207499,1,Moderate,2,0,Moderate,2,3,30.733292886205877,6401.851087046355,Wet,Weather,9,47287.46238105439,64345.32801301267,Europe,4871.467336035021
Brazil,2016,September,Tuesday,Afternoon,Urban,Street,Snowy,165.55696710254892,1,40,61+,Male,0.2160249572101205,1,Poor,2,2,Minor,12,3,28.127980422973373,5384.746213983695,Dry,Drunk Driving,1,10755.142936439062,43567.78575936099,Australia,4343.301945638383
Brazil,2004,August,Friday,Evening,Urban,Street,Windy,488.62296790276463,3,88,18-25,Female,0.0814973302126101,0,Poor,0,0,Severe,3,0,22.57226791433583,6443.524261179571,Dry,Mechanical Failure,6,22380.76822215321,21328.719014880706,Asia,4073.032948558463
Brazil,2006,May,Wednesday,Morning,Rural,Main Road,Clear,210.09730565435729,3,110,41-60,Female,0.0166872497386796,1,Good,1,2,Moderate,0,4,25.441666120955485,8880.72038647099,Icy,Weather,0,49337.24355837388,56456.09950453171,Europe,2417.0490481992038
Brazil,2017,November,Monday,Afternoon,Rural,Street,Rainy,301.37300178968746,2,56,18-25,Male,0.2333541225387712,1,Good,0,1,Moderate,2,4,46.59196626702016,7145.6084581641535,Wet,Distracted Driving,5,37203.39177874826,31949.202439433437,North America,1738.4302807289528
Brazil,2020,November,Wednesday,Evening,Rural,Main Road,Windy,290.588226907762,4,52,41-60,Male,0.0405605156544031,0,Poor,0,1,Minor,16,2,56.0096676860411,1900.6628180432847,Snow-covered,Speeding,9,25985.11947112516,39274.09624751261,North America,4728.172603958988
Brazil,2012,November,Thursday,Morning,Rural,Highway,Snowy,337.62179627025904,2,68,<18,Female,0.2294840320325215,1,Good,1,2,Moderate,0,0,20.100153492255785,9716.177634624384,Icy,Weather,0,27911.195632135943,17530.427375821462,North America,1037.7100479739772
Brazil,2020,January,Tuesday,Afternoon,Urban,Highway,Windy,291.07700150908727,4,38,26-40,Female,0.1012224299027896,1,Good,1,2,Minor,17,3,20.689939814378874,2025.4123353773489,Wet,Mechanical Failure,2,13704.708849384684,33746.13486372522,South America,3184.518404431563
Brazil,2000,August,Thursday,Night,Rural,Street,Windy,370.5304695251414,4,67,26-40,Female,0.2235905871560657,1,Poor,0,2,Moderate,19,0,15.92188498451186,3680.266687404097,Wet,Distracted Driving,6,11382.245883356693,67645.76631025215,Australia,1838.4004644582456
Brazil,2020,December,Saturday,Morning,Urban,Street,Rainy,98.34669669579328,1,35,41-60,Male,0.1783545934171498,1,Moderate,2,2,Severe,3,1,14.028343457681247,4705.349516967064,Dry,Speeding,3,12964.282435852503,43798.8993586619,South America,375.108462386227
